,title,tomatometer,audience_score,Genre,Created by,Starring,Composers,Country of origin,Original language,No. of seasons,No. of episodes,Executive producers,Cinematography,Editors,Running time,Production companies,Distributor,Original network,Picture format,Audio format,Original release,Running time (int),Final release,Theme music composer,Producer,Production location,Production locations,Based on,Developed by,Related shows,Narrated by,Opening theme,Production company,Preceded by,Producers,Composer,Editor,Camera setup,Written by,Directed by,Music by,Voices of,Ending theme,No. of series,Spanish,Original languages,Executive producer,Original work,Owned by,Toy(s),Web series,Creative directors,Followed by,Animator,Screenplay by,German,Japanese,Hangul,Hanja,Creative director,Budget,Portuguese,Turkish,Traditional,Simplified,Mandarin,Polish,Swedish,Produced by,Productioncompanies ,Distributed by,Release date,Country,Language,Edited by,Presented by,First shown in,Also known as,Judges,French,Chinese,Inspired by,Box office,Book(s),Film(s),Direct-to-video,Musical(s),Video game(s),Soundtrack(s),Original music,Theme park attraction(s),Candy brand,Confections,Revised Romanization
28,The Haunting of Bly Manor,88,63,"['Gothic romance', 'Drama', 'Supernatural', 'Horror']",Mike Flanagan,"['Victoria Pedretti', 'Oliver Jackson-Cohen', 'Amelia Eve', ""T'Nia Miller"", 'Rahul Kohli', 'Tahirah Sharif', 'Amelie Bea Smith', 'Benjamin Evan Ainsworth', 'Henry Thomas']",,United States,English,,9 ,"['Darryl Frank', 'Justin Falvey', 'Trevor Macy', 'Mike Flanagan', 'Diane Ademu-John']","['James Kniest', 'Maxime Alexandre']","['Brian Jeremiah Smith', 'Mike Flanagan']",46–66 minutes,"['Intrepid Pictures', 'Amblin Television', 'Paramount Television Studios']",,Netflix,,,"October 9, 2020 (2020-10-09)",46,10,,,,,The work of Henry James,,,,,,The Haunting of Hill House,"['Kathy Gilroy', 'Leah Fong']",The Newton Brothers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,Pretend It's a City,89,78,,,,,,,1.0,7,"['Fran Lebowitz', 'Josh Porter', 'Martin Scorsese', 'David Tedeschi', 'Ted Griffin', 'Emma Tillinger Koskoff', 'Margaret Bodde']",Ellen Kuras,"['David Tedeschi', 'Damian Rodriguez']",26-31 minutes,,,Netflix,,,"January 8, 2021 (2021-01-08)",26,01,,,,,,,,,,,,,,,,,Martin Scorsese,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,Bridgerton,89,81,"['Regency romance', 'Period drama']",Chris Van Dusen,"['Adjoa Andoh', 'Lorraine Ashbourne', 'Jonathan Bailey', 'Ruby Barker', 'Sabrina Bartlett', 'Harriet Cains', 'Bessie Carter', 'Nicola Coughlan', 'Phoebe Dynevor', 'Ruth Gemmell', 'Florence Hunt', 'Claudia Jessie', 'Ben Miller', 'Luke Newton', 'Regé-Jean Page', 'Golda Rosheuvel', 'Luke Thompson', 'Will Tilston', 'Polly Walker', 'Julie Andrews']",,United States,English,1.0,8,"['Shonda Rhimes', 'Betsy Beers', 'Chris Van Dusen', 'Julie Anne Robinson']",,,57–72 minutes,,Netflix,,,,"December 25, 2020 (2020-12-25) –present (present)",57,present,,,,,Bridgertonby Julia Quinn,,,,,Shondaland,,"['Sarada McDermontt', 'Holden Chang', 'Sarah Dollard']",Kris Bowers,Jim Flynn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,Dead to Me,89,90,"['Dark comedy', 'Dramedy', 'Tragicomedy']",Liz Feldman,"['Christina Applegate', 'Linda Cardellini', 'James Marsden', 'Max Jenkins', 'Sam McCarthy', 'Luke Roessler']",,United States,English,2.0,20 ,"['Liz Feldman', 'Will Ferrell', 'Adam McKay', 'Jessica Elbaum', 'Christina Applegate', 'Christie Smith']","['Danny Moder (season 1)', 'Toby Oliver (season 2)']","['Liza Cardinale', 'Grady Cooper', 'Iris Hershner', 'Nicole Brik']",26–34 minutes,"['Gloria Sanchez Productions', 'Visualized, Inc.', 'CBS Television Studios']",,Netflix,"['4K (Ultra HD)', 'High dynamic range']",Dolby Digital 5.1,"May 3, 2019 (2019-05-03) –present (present)",26,present,,,,,,,,,,,,"['Joe Hardesty', 'Linda Cardellini', 'Peter Chomsky', 'Buddy Enright', 'Denise Pleune']",Adam Blau,,Single-camera,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,The Kominsky Method,90,92,Comedy-drama,Chuck Lorre,"['Michael Douglas', 'Alan Arkin', 'Sarah Baker', 'Nancy Travis', 'Kathleen Turner']",,United States,English,2.0,16 ,"['Chuck Lorre', 'Al Higgins', 'Michael Douglas']",Anette Haellmigk,"['Matthew Barbato', 'Gina Sansom']",22–33 minutes,"['Chuck Lorre Productions', 'Warner Bros. Television']",,Netflix,4K (16:9 UHDTV in high dynamic range),Dolby Digital,"November 16, 2018 (2018-11-16) –present (present)",22,present,,Marlis Pujol,,,,,,,,,,,Jeff Cardoni,,Single-camera,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,You,90,81,"['Psychological thriller', 'Crime drama']",,"['Penn Badgley', 'Elizabeth Lail', 'Luca Padovan', 'Zach Cherry', 'Shay Mitchell', 'Victoria Pedretti', 'Jenna Ortega', 'James Scully', 'Ambyr Childers', 'Carmela Zumbado']",,United States,English,2.0,20 ,"['Marcos Siega', 'Gina Girolamo', 'Les Morgenstein', 'Sarah Schechter', 'Sera Gamble', 'Greg Berlanti', 'Lee Toland Krieger', 'Silver Tree', 'Michael Foley', 'Azalea Brooke']","['David Lanzenberg', 'W. Mott Hupfel', 'Seamus Tierney', 'Cort Fey']","['Harry Jierjian', 'Gaston Jaren Lopez', 'Troy Takaki', 'Rita K. Sanders', 'Felicia M. Livingston', 'Erin Wolf', 'Becca Berry']",41–50 minutes,"['Man Sewing Dinosaur', 'Berlanti Productions', 'Alloy Entertainment', 'A&E Studios', 'Warner Horizon Television']",Warner Bros. Television Distribution,"['Lifetime (season 1)', 'Netflix (season 2–present)']","['1080p (16:9 HDTV)', '4K (Ultra HD)', 'High dynamic range']",5.1 surround sound,"September 9, 2018 (2018-09-09) –present (present)",41,present,,,,"['New York City', 'Los Angeles, California']","['You', 'Hidden Bodies']","['Greg Berlanti', 'Sera Gamble']",,"['Penn Badgley', 'Elizabeth Lail']",,,,"['Ryan Lindenberg', 'Adria Lang', 'Jason Sokoloff', 'Jennifer Lence', 'Wayne Carmona']",Blake Neely,,Single-camera,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,Gentefied,91,76,Comedy-drama,Marvin Lemus & Linda Yvette Chávez,"['Joaquín Cosío', 'J.J. Soria', 'Karrie Martin', 'Carlos Santos']",,United States,,1.0,10 ,"['Monica Macer', 'Charles D. King', 'Aaliyah Williams', 'Kim Roth', 'America Ferrera', 'Teri Weinberg']",Logan Schneider,"['Edwin Ulysses Rivera', 'Jesus Huidobro']",25–32 minutes,"['MACRO', 'Sector 7 Productions', 'Anchor Baby Productions', 'Take Fountain Productions', 'Yellow Brick Road']",,Netflix,"['4K (Ultra HD)', 'High dynamic range']",Dolby Digital,"February 21, 2020 (2020-02-21) –present (present)",25,present,,Wileen Dragovan,,,,,,,,,,,,,Single-camera,,,Brian D'Oliveira,,,,,"['English', 'Spanish']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,The Last Kingdom,91,96,Historical drama,,see below,,United Kingdom,English,,36 ,Stephen ButchardNigel Marchant Gareth Neame,Chas Bain,,58–59 minutes,,,"['BBC Two (UK) (series 1 - 2)', 'Netflix (series 3 - present)']",,,10 October 2015 (2015-10-10) –present (present),58,present,,Chrissy Skinns,,"Hungary, Wales",The Saxon Stories novels by Bernard Cornwell,,,,,Carnival Film and Television,,,John Lunn,Paul Knight,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,United Kingdom,,,,,,,,,,,,,,,,,
36,The Midnight Gospel,91,89,"['Adult animation', 'Science fantasy', 'Surrealism', 'Dark comedy', 'Adventure', 'Interview', 'Psychedelic']","['Pendleton Ward', 'Duncan Trussell']",,,United States,English,1.0,8,"['Pendleton Ward', 'Duncan Trussell', 'Antonio Canobbio', 'Ben Kalina', 'Chris Prynoski']",,,20-36 minutes,"Oatmeal MaidenTitmouse, Inc.",,Netflix,4K (Ultra HD)High dynamic range,Dolby Digital Plus 5.1,"April 20, 2020 (2020-04-20) –present",20,present,,,,,,,Adventure Time,,,,,"['Shannon Prynoski', 'Tony Salama']",Joe Wong,Megan Love,,"['Pendleton Ward', 'Duncan Trussell', 'Mike L. Mayfield']",Pendleton Ward,,"['Duncan Trussell', 'Phil Hendrie']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,The Crown,91,89,Historical drama,Peter Morgan,"['Claire Foy', 'Matt Smith', 'Vanessa Kirby', 'Eileen Atkins', 'Jeremy Northam', 'Victoria Hamilton', 'Ben Miles', 'Greg Wise', 'Jared Harris', 'John Lithgow', 'Alex Jennings', 'Lia Williams', 'Anton Lesser', 'Matthew Goode', 'Olivia Colman', 'Tobias Menzies', 'Helena Bonham Carter', 'Ben Daniels', 'Jason Watkins', 'Marion Bailey', 'Erin Doherty', 'Jane Lapotaire', 'Charles Dance', ""Josh O'Connor"", 'Geraldine Chaplin', 'Michael Maloney', 'Emerald Fennell', 'Andrew Buchan', 'Gillian Anderson', 'Emma Corrin', 'Stephen Boxer']","['Rupert Gregson-Williams (1–2)', 'Lorne Balfe (2)', 'Martin Phipps (3–4)']","['United Kingdom', 'United States']",English,4.0,40 ,"['Peter Morgan', 'Stephen Daldry', 'Andy Harries', 'Philip Martin', 'Suzanne Mackie', 'Matthew Byam Shaw', 'Robert Fox', 'Tanya Seghatchian', 'Nina Wolarsky', 'Allie Goss', 'Benjamin Caron']",,,47–61 minutes,"['Left Bank Pictures', 'Sony Pictures Television']",Netflix Streaming Services,Netflix,4K (Ultra HD),,4 November 2016 (2016-11-04) –present (present),47,present,Hans Zimmer,Andrew Eaton,United Kingdom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,Dating Around,92,50,"['Reality', 'Dating']",Chris Culvenor,,,United States,English,2.0,12 ,"['Chris Culvenor', 'Paul Franklin', 'Alycia Rossiter']",James Adolphus,,24–29 minutes,['Eureka Productions'],Netflix,Netflix,,,"February 14, 2019 (2019-02-14) –present (present)",24,present,,,,,,,,,,,,,,,,,"['James Adolphus', 'Wylda Bayron']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,Criminal: UK,92,92,Police procedural anthology series,"['George Kay', 'Jim Field Smith']","['Katherine Kelly', 'Lee Ingleby', 'Mark Stanley']",,United Kingdom,English,2.0,7 ,,,,41–48 minutes,,,,,,20 September 2019 (2019-09-20) –present,41,present,,,,,,,"['Criminal: France', 'Criminal: Germany', 'Criminal: Spain']",,,Idiotlamp Productions,,,,,,George Kay,Jim Field Smith,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,Cobra Kai,93,92,"['Comedy-drama', 'Martial arts', 'Action comedy']","['Josh Heald', 'Jon Hurwitz', 'Hayden Schlossberg']","['Ralph Macchio', 'William Zabka', 'Courtney Henggeler', 'Xolo Maridueña', 'Tanner Buchanan', 'Mary Mouser', 'Jacob Bertrand', 'Gianni DeCenzo', 'Martin Kove']","['Leo Birenberg', 'Zach Robinson']",United States,English,3.0,30,"['Will Smith', 'James Lassiter', 'Caleeb Pinkett', 'Susan Ekins', 'Josh Heald', 'Jon Hurwitz', 'Hayden Schlossberg']",Cameron Duncan,"['Nicholas Monsour', 'Jeff Seibenick', 'Ivan Victor']",22–40 minutes,"['Hurwitz & Schlossberg Productions (seasons 1–2)', 'Overbrook Entertainment (seasons 1–2)', 'Heald Productions (season 2)', 'Counterbalance Entertainment (season 3)', 'Westbrook Studios (season 3)', 'Sony Pictures Television Studios']",Sony Pictures Television,"['YouTube Red (season 1)', 'YouTube Premium (season 2)', 'Netflix (season 3)']",4K (UHDTV),"['Stereo (YouTube)', 'Dolby Digital 5.1 (Netflix)']","May 2, 2018 (2018-05-02) –present (present)",22,present,,,,,The Karate Kidby Robert Mark Kamen,,,,,,,"['Katrin L. Goodson', 'Bob Wilson']",,,Single-camera,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,Julie and the Phantoms,93,98,"['Musical', 'Comedy-drama']",Dan Cross & David Hoge,"['Madison Reyes', 'Charlie Gillespie', 'Owen Patrick Joyner', 'Jeremy Shada', 'Jadah Marie', 'Sacha Carlson', 'Savannah May']",,United States,English,1.0,9,"['Kenny Ortega', 'Dan Cross', 'David Hoge', 'Michel Tikhomiroff', 'Fabio Danesi', 'George Salinas', 'Jaime Aymerich']",Jon Joffin,"['Don Brochu', 'Dan Krieger', 'Austin Andrews']",24–38 minutes,"['Cross Hoge Productions', '5678 Productions', 'Mixer Films', 'Crossover Entertainment LLC', 'Brightlight Pictures']",,Netflix,,,"September 10, 2020 (2020-09-10)",24,09,,,,"Burnaby, British Columbia","Julie e os Fantasmasby Paula Knudsen, Tiago Mello, and Fabio Danesi",,,,,,,"['Jameson Parker', 'Thierry Tanguy']",,,,,,David Lawrence,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
